id,CITY,SPOT_LAT,SPOT_LON,ADDRESS,SPEED_LIMIT
108,Chenyangzhai,34.313074,108.715716,0468 Utah Pass,90
109,Nkongsamba,4.9741169,9.9353318,2 Garrison Place,110
110,Rudky,49.6522215,23.486531,28469 Lerdahl Center,100
111,Vysoké nad Jizerou,50.6832156,15.4065217,5420 Briar Crest Parkway,80
112,Jishigang,29.861346,121.448134,41579 Artisan Hill,90
113,Longhua,22.656408,114.019351,7282 Gateway Point,80
114,Panggungwinong,-8.2394,112.2878,79 Cascade Terrace,120
115,Utabi,12.6417,123.9092,6796 Eggendart Way,70
116,Dasi,39.021046,117.2401593,842 Westerfield Terrace,70
117,Donghuang,40.142128,94.661966,4 Boyd Park,90
118,Mondlo,-27.97499,30.69633,392 Park Meadow Lane,60
119,Bulu,-7.7595897,110.8344302,4558 Portage Trail,70
120,Saniwonorejo,-6.9842,112.4909,148 Orin Terrace,70
121,Bianxiong,29.31718,89.054565,9 Oakridge Park,90
122,Tambobamba,-13.945728,-72.1756733,8 Dryden Circle,70
123,Övertorneå,66.3884435,23.639283,3 Anhalt Trail,120
124,Rzhavki,56.0127743,37.2229806,0139 Steensland Parkway,80
125,Kyustendil,42.3223434,22.7092535,269 Rigney Parkway,80
126,Ne?alim,32.058597,34.9136,2 Manufacturers Hill,100
127,Landskrona,55.8569131,12.9108819,2267 Bayside Place,80
128,Dhidhdhoo,6.8873531,73.113569,2856 Haas Center,90
129,Uherský Ostroh,48.9855573,17.3898527,136 Express Court,90
130,San José de Río Tinto,14.9247834,-85.692279,14082 Northview Drive,90
131,Pengshi,36.5380709,115.2792734,323 Loomis Junction,80
132,Pescara,42.4353312,14.222154,82 Esch Trail,70
133,Shing?,33.7282738,135.9914552,4 Hoard Alley,100
134,Vathýlakkos,40.2568893,21.9160195,51 Randy Place,110
135,Krajan Sidodadi,-7.6913152,109.89939,20028 6th Road,90
136,Aisai,35.1904212,136.6566541,4 Warbler Place,120
137,Lipovljani,45.3982443,16.8946158,13 Mandrake Street,80
138,Soca,-34.683901,-55.709609,644 West Drive,100
139,Cárdenas,23.0365513,-81.2133262,4391 Sage Parkway,90
140,Nong Khaem,13.699545,100.3448059,554 Hintze Terrace,90
141,Bofuer,-3.0114,133.7626,3 Vermont Place,90
142,Briceni,48.3611707,27.0855305,3349 Warrior Crossing,80
143,Qa?r al Far?firah,27.0568,27.96979,608 Chive Avenue,80
144,Richibucto,46.6817873,-64.8659804,54382 Manitowish Crossing,100
145,Azor,32.029558,34.799648,667 Northland Terrace,60
146,Emiliano Zapata,19.4614133,-99.1186381,74 Pierstorff Trail,110
147,‘Afak,32.0607438,45.2384164,46 Carberry Avenue,120
148,Bahe,32.809026,110.112629,97027 Lerdahl Center,60
149,Lokokrangan,-8.255,116.2591,41890 Delladonna Place,110
150,Sel’tso,53.3656498,34.1098425,98780 Oriole Plaza,110
151,Lautoka,-17.6169957,177.4504888,7 Hollow Ridge Trail,70
152,Fernández,-34.5434158,-58.5867617,00 Melby Trail,120
153,Cipari,-7.4066528,108.7719766,0231 Barnett Court,70
154,São Bento do Sul,-26.2301262,-49.3471838,21499 Rieder Road,70
155,Neftçala,39.3881052,49.2413743,3 Dapin Alley,90
156,Aranas Sur,13.6256926,123.1848939,8477 Blaine Alley,70
157,Wrze?nia,51.0389656,21.0648754,5768 Farmco Alley,80
158,Chropyn?,49.3564402,17.3645179,24 Gerald Road,110
159,Houmt Souk,33.8787981,10.850791,4 Sutteridge Way,110
160,Song,18.5769276,100.2151578,6 Carioca Junction,100
161,Rakaia,-43.7567555,172.0223196,91 Oakridge Road,60
162,Zolotyy Potik,48.9095,25.33926,88354 David Terrace,100
163,Jayawangi,-6.8333257,106.6971352,16300 Bellgrove Street,110
164,Gary,41.6020598,-87.4108352,91 Homewood Plaza,100
165,Karangmelok,-8.0401628,113.831703,76 Cottonwood Point,100
166,Hn?votín,49.566715,17.1679608,75761 Jana Court,80
167,Tiko,4.0786306,9.358984,2 Memorial Lane,80
168,Ciénaga de Oro,8.8105088,-75.632447,7753 Lotheville Court,70
169,Wadi Kidul,-6.2736138,106.6717451,4 Kinsman Court,60
170,Pekalongan,-6.8898362,109.6745916,745 Comanche Center,100
171,Obollo-Afor,6.9152967,7.5138947,4 Burning Wood Crossing,90
172,Almirante,9.2979179,-82.4211025,1264 Florence Hill,80
173,Kuala Lumpur,3.1523104,101.7178316,432 Toban Drive,120
174,Camachile,14.5668553,120.9987005,57 Memorial Lane,100
175,Juuka,63.24072,29.2518185,6 Knutson Circle,70
176,Bella Vista,-27.0501654,-55.5746294,39 Dawn Plaza,70
177,Dengfeng,34.454443,113.050581,90247 Leroy Circle,100
178,Mirocin,50.043163,22.555595,5 Sloan Pass,110
179,Votuporanga,-20.4207385,-49.9648907,8580 Meadow Ridge Hill,120
180,Zlechov,49.0733587,17.3859903,58 Evergreen Way,80
181,La Molina,-12.0820196,-76.928234,59 Pine View Parkway,90
182,Bojongnangka,-6.9070543,109.3575011,5455 Iowa Plaza,100
183,Pingfeng,45.597839,126.637515,14461 Ilene Hill,60
184,Yuxar? Aran,39.7291573,47.6541468,79 Independence Avenue,110
185,Uralo-Kavkaz,48.3284147,39.7960619,0659 High Crossing Park,90
186,Cachón,18.4907917,-69.9603742,2728 Basil Drive,80
187,Guinsang-an,6.4791846,124.6644348,0 Holy Cross Way,80
188,Czarnow?sy,50.6627543,17.9265186,8 Artisan Park,70
189,???????????-3,69.0736487,33.4255804,84034 Morrow Parkway,70
190,Tabunok,10.2635715,123.8394629,7 Sauthoff Drive,90
191,Ziway,7.92772,38.7211079,40 3rd Pass,80
192,Bratsigovo,42.0070624,24.4410972,62358 Manufacturers Alley,80
193,Canaries,13.9047039,-61.0667869,61 Harbort Park,70
194,Pajoreja,-8.8449,121.1956,16 David Avenue,100
195,Guisser,32.7668648,-7.5057737,75400 Eastlawn Point,120
196,Sir?jganj,24.4192041,89.5515678,748 Nelson Parkway,60
197,Yanchi,37.783205,107.407358,2979 Sunbrook Center,120
198,Kotabaru,-3.0029841,115.9467997,5363 Center Hill,60
199,Carvalhal,40.4604941,-8.2950775,2 Monterey Way,110
200,Bunigeulis,-7.066667,108.416667,0 Almo Junction,90
201,Citeluk,-6.8083456,105.6735131,3097 Utah Parkway,80
202,Pardelhas,40.7489536,-8.6503807,0320 Derek Avenue,80
203,Pordapor Barat,-7.0567806,113.6353431,8 Novick Point,110
204,Cipolletti,-38.951448,-67.993234,403 Fordem Way,100
205,Apt,43.89144,5.381848,6933 Haas Alley,100
206,Nanao,37.0511419,136.9632426,58 Fairview Point,80
207,Sandnes,67.1335945,16.0707095,40 Forest Dale Road,80
208,Vila Franca,41.6865621,-8.7534535,55 Arkansas Street,100
209,Camperdown,-29.8697861,31.0462562,394 Drewry Center,60
210,Sviblovo,55.85611,37.669967,1045 Briar Crest Parkway,100
211,Le?na Podlaska,52.1316395,23.0297501,56 Manufacturers Parkway,80
212,Bajiazi,42.6688027,129.1189472,84 Nelson Alley,60
213,Mosoc Llacta,-14.12,-71.47278,9 Tomscot Lane,120
214,Marovoay,-16.1073563,46.6463975,22 Barnett Park,80
215,Zhuyeping,29.4724425,110.5437982,6 Elmside Point,80
216,Sel’tso,53.3656498,34.1098425,96329 Florence Circle,100
217,Dadong,41.805137,123.4699481,8 Darwin Place,80
218,Granja do Tedo,41.0677716,-7.6154835,5257 John Wall Terrace,110
219,Zheleznogorsk,52.2960003,35.4190083,72 Morningstar Court,80
220,Kuntong,24.880095,102.832891,70554 Packers Crossing,110
221,Bayuwan,-8.2190944,114.3691416,91718 Dexter Pass,60
222,Takedamachi,34.8389466,134.7007309,0818 Eagan Road,100
223,Longgang,22.720974,114.246899,0 Village Green Avenue,120
224,Caldono,2.7682671,-76.4215988,3 Troy Park,60
225,Daru Rilwan,13.5468199,-15.9839424,0 Jay Park,80
226,Roma,41.6999293,12.4151335,83 Jenifer Circle,100
227,Taposan,-6.9579,113.1741,322 4th Crossing,100
228,Sidzina,49.5904912,19.710237,9254 Acker Drive,70
229,Donja Mahala,45.0783589,18.6758688,31433 Morning Hill,90
230,Ganjaran,-8.1433,112.6168852,632 Prairieview Street,60
231,Carigara,11.3008218,124.6904308,4816 Truax Road,90
232,Kpalimé,6.9097671,0.6298922,18958 Lukken Crossing,80
233,Ballymun,53.3897152,-6.264963,37763 Di Loreto Drive,70
234,??????,42.075123,21.0523541,975 Riverside Drive,100
235,Srbinovo,41.7156359,20.9777418,697 Monument Street,60
236,Kampungbajo,-3.3472662,120.3089541,2 Kings Junction,120
237,Pampa del Infierno,-26.5044407,-61.1763962,8 Old Gate Hill,60
238,Burnside,55.9206837,-3.5420426,17 Claremont Pass,60
239,Sabtang,14.342711,121.0656962,414 Glacier Hill Avenue,110
240,Jabiny?nah,35.035,10.90809,7879 Nelson Street,120
241,Si Mahosot,13.8524315,101.4230264,1895 Oakridge Park,70
242,Shatura,55.5772494,39.526478,2 Golf Plaza,90
243,El Carmen,8.50874,-73.4488,45 Surrey Alley,90
244,Prachamtakham,14.0644874,101.5156074,1 Victoria Parkway,80
245,Kyaukse,21.6098301,96.1341431,363 Crownhardt Park,70
246,Angoulême,45.638468,0.129895,676 Fulton Hill,70
247,Podolí,49.430258,17.8571512,9145 Ruskin Road,80
248,Xichang,27.894504,102.264449,15 Kropf Lane,70
249,Dingtao,35.071102,115.573036,44 Pierstorff Road,80
250,Joubb Jannîne,33.6328198,35.7819158,2 Crescent Oaks Parkway,120
251,Donghai,34.542308,118.752842,56 Westend Circle,80
252,Pasirlaja,-6.5472126,106.8384873,8 Nelson Crossing,70
253,Belogorsk?y,49.4753404,83.142888,8 1st Circle,70
254,Chian Yai,8.1380673,100.1255164,84322 7th Court,80
255,Espírito Santo do Pinhal,-22.1755019,-46.805914,027 Evergreen Plaza,110
256,Yujing,32.5741081,-117.0553896,8 Melrose Way,80
257,Almaty,43.2220146,76.8512485,77 Cardinal Terrace,80
258,Bilozerka,46.6267067,32.4413727,01504 Harper Drive,80
259,Molodizhne,45.0023182,34.0761476,33971 Coolidge Alley,110
260,Sanhu,23.2008019,113.6710978,670 Lawn Junction,100
261,Isaka,-3.9052525,32.9381321,098 Trailsway Junction,110
262,Dulyapino,57.2588115,40.8141102,5 Boyd Way,110
263,Yueyang,29.356803,113.12873,9 Knutson Circle,110
264,Elefsína,38.0412749,23.5418125,68153 Graceland Street,120
265,Trasak,-7.1274078,113.5282081,4 Kim Point,100
266,Göteborg,57.7306723,12.0586546,11268 Manitowish Place,70
267,Gemo,30.9162065,121.6776404,4 Granby Court,80
268,Picton,44.00012,-77.13275,565 La Follette Street,110
269,Mullagh,51.8895954,-8.4977746,0340 Twin Pines Parkway,90
270,Horní Libina,49.8687559,17.0138788,74 Elgar Alley,100
271,Bejuco,8.606157,-79.8884819,28 Raven Drive,110
272,Filothéi,38.0222208,23.7851957,5 Stephen Hill,90
273,Jimenez,8.3331847,123.8426301,3 Dayton Alley,90
274,Chunghwa,38.8605311,125.7898106,312 Jana Alley,110
275,Pirajuí,-21.9929318,-49.4547036,610 International Lane,120
276,Koroyo,-6.212159,106.510583,6438 Milwaukee Parkway,90
277,Santiago do Cacém,38.0162314,-8.6956768,439 Park Meadow Circle,70
278,Banjar Medura,-8.6926,115.2533,079 Pankratz Park,90
279,Osório,-29.899528,-50.247365,3200 Forest Dale Lane,60
280,S?d? S?lim,31.2724505,30.7807444,2749 Holy Cross Court,90
281,Trà Vinh,9.812741,106.2992912,514 Hudson Pass,80
282,Jinshi,29.60548,111.877499,704 Michigan Drive,80
283,Newtown,51.3684218,-1.3218754,816 Waywood Center,80
284,Krasnoye,52.0997957,39.7742561,670 Morningstar Hill,70
285,Tralee,52.2413206,-7.0833118,10586 Mayer Center,70
286,Vostochnoe Degunino,55.888915,37.5584016,722 Jenna Terrace,80
287,Bovec,46.3376387,13.5516829,7 Goodland Road,110
288,Zhushan,32.224808,110.228747,23337 Pennsylvania Trail,110
289,Sempol,-8.0522759,114.1677159,415 Farwell Junction,120
290,Th? Tr?n Yên Th?nh,18.178456,105.7028457,1910 Anniversary Trail,110
291,Kawasaki,38.1536393,140.266785,387 Quincy Circle,70
292,Vostok,48.375888,135.5602794,7975 8th Place,110
293,Francisco Villa,19.3376878,-99.0591821,19 Montana Road,90
294,Kokemäki,61.2022597,22.2731105,1 Goodland Way,100
295,Quilino,-31.4344135,-64.1275399,623 Nancy Parkway,110
296,Krajan Timur Suger Kidul,-8.0526,113.7809,663 Dorton Center,70
297,Puputan,-6.5619262,106.3786028,81859 Beilfuss Parkway,100
298,Tawan tawan,7.8182993,122.6727616,5174 Graedel Junction,90
299,Avignon,43.8317876,4.3686291,71340 North Drive,70
300,Guanqiao,24.914102,118.604038,38 Clyde Gallagher Parkway,80
301,Siukh,42.6002262,46.5477914,054 Bartillon Parkway,70
302,Sindangpanji,-7.0226053,108.3845817,78840 Oxford Street,70
303,Guarapari,-20.6741197,-40.4997382,4913 Thierer Way,70
304,Yazman,29.3738721,71.6934843,8589 Porter Way,80
305,Vila Real de Santo António,37.188956,-7.442223,539 Porter Place,70
306,Samara,53.1991153,50.1031834,07 Everett Street,80
307,Changqi,21.938596,110.552977,17214 Calypso Place,90
308,Georg?evka,52.7572749,78.2041704,4 Southridge Plaza,70
309,Mayo,6.6802044,101.4112049,266 Burrows Parkway,100
310,Åby,58.6527772,16.1834327,111 Badeau Park,70
311,Helvecia,-34.6950382,-58.6575429,90449 Ruskin Street,80
312,Nagrumbuan,16.8991985,121.7075195,84 Grover Road,100
313,Höviyn Am,47.23123,98.5714,73686 Sutherland Terrace,70
314,Quipot,13.9293954,121.3228399,8 Farwell Alley,100
315,Saint-Avertin,47.3640936,0.7259705,325 Mccormick Junction,80
316,Shuya,56.8530446,41.3756828,8 Gulseth Crossing,70
317,Kantharalak,14.6066438,104.705431,56 Burning Wood Alley,90
318,Shicheng,29.5530941,118.9353968,6 Nelson Parkway,70
319,San Miguel,9.8741891,-84.0605696,9 Sugar Terrace,100
320,Sungi Liput,4.1264601,97.986535,01 Carpenter Court,100
321,Xiaocheng,31.223878,121.524135,3245 Sullivan Road,100
322,Konëvo,52.0531815,36.1294093,988 Eagle Crest Terrace,70
323,Puolanka,65.2674812,27.5126688,89 Dexter Court,110
324,Ruyigi,-3.446207,30.2512728,3 Delaware Crossing,90
325,Lephalale,-23.6845941,27.6808712,3 Moose Parkway,80
326,Kobylí,48.9398644,16.8996364,90 Superior Avenue,100
327,Santa Marta,11.2561208,-73.6344979,5993 Katie Plaza,120
328,Tampa,28.0003221,-82.5889012,181 Tennyson Crossing,100
329,Mardakyany,40.4810579,50.1454455,6780 Miller Junction,80
330,Chaloem Phra Kiat,16.356791,102.8259445,52504 Parkside Junction,70
331,København,55.6658602,12.5482906,0332 Laurel Terrace,100
332,Yên L?c,21.1962199,105.5708865,1 Holy Cross Place,100
333,Belverde,38.6015735,-9.1396466,0133 Gina Hill,60
334,Pingshan,22.691253,114.346251,8448 Fieldstone Center,110
335,Santa Cruz,19.6938888,-99.2591666,111 Fordem Plaza,110
336,Matang,26.647932,107.917448,909 Norway Maple Junction,100
337,Täby,59.4304876,18.0591041,0 Hayes Park,100
338,Conchopata,-13.1612425,-74.2152331,3433 Golden Leaf Court,120
339,Kayes,-4.423943,11.69283,6013 Novick Way,80
340,Krayen,-8.0871,111.6426,2 Bluestem Pass,100
341,Betania,5.746649,-75.977569,9 Judy Point,120
342,Kattaqo’rg’on,39.8971627,66.2724183,1763 Butterfield Drive,70
343,L?chi,31.5555726,74.3925525,29059 Clarendon Alley,100
344,Karlstad,59.4051316,13.5451563,2 Rutledge Circle,80
345,Keswick,44.2298189,-79.4619506,1 Susan Terrace,110
346,Warren,41.2420649,-80.8488498,4 Autumn Leaf Crossing,110
347,Créteil,48.7980515,2.4882911,49329 Crest Line Circle,60
348,Almaguer North,16.3513442,121.0927689,891 Schiller Park,60
349,Jingyang,34.527114,108.842622,4 Sage Place,110
350,Chambéry,45.5641261,5.9680907,406 Summit Point,90
351,Arcos,41.3999288,-8.6637745,49 Muir Way,90
352,El Tejocote,19.4871158,-99.286528,9 Forest Place,100
353,Spassk-Dal’niy,44.5931785,132.7381046,020 Lillian Point,80
354,Bergamo,45.7022525,9.6323203,3021 Iowa Parkway,100
355,Watulimo,-8.2702492,111.7018452,3 Corscot Point,90
356,Santa Cruz,19.6938888,-99.2591666,069 Bluejay Lane,110
357,Angoulême,45.6258385,0.0629891,254 Esch Junction,70
358,A?dam,39.9931853,46.9949562,88 Continental Point,110
359,Gorskaya,60.0409397,29.9879347,19 Thierer Street,90
360,Opo?no,50.2609615,16.101507,3 Evergreen Pass,110
361,Yanjiang,30.108216,104.677091,96 Cardinal Lane,110
362,Cana Chapetón,19.604951,-71.252526,36155 Eliot Circle,100
363,Qiagai,34.839635,103.467868,8313 Cherokee Avenue,80
364,Mainri,28.541342,98.633013,49905 Arkansas Drive,60
365,Bangad,15.0410586,120.0745042,3 Warbler Drive,100
366,Chengzihe,45.33697,131.011304,8358 Cody Plaza,60
367,Sunne,59.8445787,13.2588145,8 Rockefeller Center,70
368,Isak,4.449797,96.884193,14084 Hooker Avenue,110
369,Anjie,30.638674,119.680353,206 Susan Avenue,120
370,Haykashen,40.0725348,44.3051313,4760 Atwood Drive,90
371,Yuanba,32.323256,105.96282,6829 Anthes Parkway,70
372,Yonggu,35.72154,111.350842,0 Lake View Lane,60
373,Teryayevo,56.16974,36.12545,7 Shopko Road,90
374,Jixing,30.753924,120.758543,0044 Eliot Point,110
375,Ciénega,5.409158,-73.295881,995 Eggendart Drive,110
376,Kupchino,59.8639169,30.3721765,843 Hazelcrest Road,70
377,Yuto,-24.2449065,-65.2605303,690 Crescent Oaks Terrace,120
378,Kahn?j,28.0250371,57.745955,612 Westridge Way,80
379,Qo’ng’irot Shahri,43.05207,58.84596,1024 Springs Plaza,90
380,Moanemani,-4.0087147,136.0369403,46 Hansons Court,70
381,Ngasinan,-7.9620331,111.4723041,887 Kenwood Center,60
382,Jiahu,33.612843,113.667436,444 Declaration Drive,90
383,Limassol,34.7071301,33.0226174,0 Acker Parkway,90
384,Yamada,38.8583121,139.9535758,17 Hazelcrest Park,110
385,Nezv?stice,49.6404353,13.5196266,8 Schiller Terrace,60
386,Juàzeirinho,-7.1504031,-34.9625932,50224 Scott Circle,70
387,Trablice,51.35249,21.12877,62896 Parkside Court,110
388,Älvdalen,61.228665,14.040054,242 Grayhawk Terrace,80
389,Fenghuang,27.948308,109.599191,5229 Grover Circle,100
390,Nacka,62.4729446,17.4155753,6886 Gina Park,60
391,Mangochi,-14.4861733,35.253304,258 Darwin Way,100
392,Zebrzydowice,49.8545281,18.6057328,1 North Hill,110
393,Battambang,13.09573,103.2022055,4 Southridge Parkway,80
394,Huangxikou,27.845011,117.383641,1 Cottonwood Lane,100
395,Pregrada,46.1649072,15.7509093,4 New Castle Place,60
396,Svobody,59.1284714,31.6968796,548 Scoville Court,80
397,Yuanda,41.8136349,123.5288621,424 Fisk Point,90
398,Bejuco,8.606157,-79.8884819,9959 Brickson Park Crossing,90
399,Qorovulbozor,39.4900417,64.7992272,4155 Kinsman Street,80
400,Shatrovo,56.5155642,64.631671,32352 Waxwing Parkway,70
401,Lublin,51.2760107,22.5807371,294 Crest Line Way,90
402,La Trinidad,16.4452765,120.5881071,383 Dayton Drive,110
403,Nizhyn,51.0377956,31.8880994,6 Roth Hill,70
404,Amado Nervo,19.368252,-99.296058,1 Bluejay Terrace,80
405,Hanjiaji,29.117096,110.479191,00959 School Drive,60
406,Balrothery,53.5879156,-6.1884248,5 Eagan Point,70
407,Tozeur,33.918534,8.1229329,97230 Service Point,70
408,Serrinha,41.248043,-8.2927634,81555 Evergreen Avenue,110
409,Sa'dah,16.9509413,43.7477743,00 Pine View Park,90
410,?ab?l al Jabr,13.60422,44.98578,2 Victoria Crossing,90
411,Th? Tr?n Yên Th?,22.0899425,104.7695962,39 Golden Leaf Avenue,90
412,Wyszogród,52.391799,20.1900369,3 Springs Trail,90
413,Jiantiao,29.042269,121.626963,148 Chive Center,110
414,George Hill,18.2002551,-63.0692167,565 Gerald Drive,110
415,Woerden,52.0825062,4.8461786,93010 Dayton Park,80
416,Morcellemont Saint André,-20.0723762,57.5674318,20 South Parkway,80
417,Dougou,34.295348,119.119278,6 Rieder Court,110
418,Ash Shuy?kh,31.574996,35.149421,7665 Judy Road,70
419,Kurayoshi,35.4499037,133.7613311,27 Bowman Point,120
420,Vahdat,38.560256,69.0165511,77 Columbus Street,90
421,Yangxunqiao,30.146551,120.369051,81039 Alpine Lane,70
422,Zhangbang,31.145454,121.121123,09 Division Park,80
423,Majagual,8.5087615,-74.7571147,7 Daystar Terrace,120
424,A? ?alw,13.32887,44.21708,47031 Merchant Terrace,80
425,Maraial,-8.817615,-35.7625241,14587 Crownhardt Parkway,90
